"Source:","C:\buspirate5-hardware\flash-sop-lotes-rev3\flash-sop-lotes-rev3.kicad_sch"
"Date:","6/18/2024 2:34:58 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","10"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"2","1","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~",""
"3","1","J1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal","~",""
"4","1","J2","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~",""
"5","1","R1","2K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"6","2","SW1, SW2","SW_SPDT","Switch:SW_SPDT","Button_Switch_SMD:SW_SPDT_PCM12","~",""
"7","1","U1","25LCxxx","Memory_EEPROM:25LCxxx","TEST_SOCKETS:ASPI0001-P001A","http://ww1.microchip.com/downloads/en/DeviceDoc/21832H.pdf",""
"8","1","U2","25LCxxx","Memory_EEPROM:25LCxxx","TEST_SOCKETS:ACA-SPI-004-K01","http://ww1.microchip.com/downloads/en/DeviceDoc/21832H.pdf",""
