,,,,,
Item,Qty,Reference(s),Value,Footprint,szlcsc_partnum
1,2,"C4, C5",10uF/6.3V,Capacitor_SMD:C_0805_2012Metric,C307525
2,2,"D2, D3",LED,LED_SMD:LED_0805_2012Metric,
3,1,J1,DDR504111002KQ,footprints:AMPHENOL_DDR504111002KQ,
4,1,J2,Conn_01x10,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal,
6,1,J4,10160554-001SHLF,footprints:AMPHENOL_10160554-001SHLF,
7,2,"Q1, Q2",2N7002,Package_TO_SOT_SMD:SOT-23,C65189
8,1,Q5,BC807,Package_TO_SOT_SMD:SOT-23,C21714130
9,1,Q6,BC817,Package_TO_SOT_SMD:SOT-23,C39828
10,3,"R2, R12, R13",6.8K,Resistor_SMD:R_0805_2012Metric,C17772
11,4,"R3, R4, R6, R7",2K,Resistor_SMD:R_0805_2012Metric,C17604
12,1,R8,1K,Resistor_SMD:R_0805_2012Metric,C17513
13,1,R10,680R,Resistor_SMD:R_0805_2012Metric,C17798
14,1,R11,330R,Resistor_SMD:R_0805_2012Metric,C17630
15,1,U2,ME6206A33XG,Package_TO_SOT_SMD:SOT-23,C161345
