Item,Qty,Reference(s),Value,szlcsc_partnumber
1,66,"C1, C2, C3, C5, C7, C8, C9, C14, C15, C16, C17, C20, C22, C110, C111, C112, C113, C114, C115, C116, C117, C118, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C403, C415, C416, C503, C507, C508, C509, C510, C602, C605, C701, C702, C703, C704, C705, C706, C707, C708, C710, C712, C713, C714, C715, C716, C717, C718, C719, C720",0.1uF,C1525
2,20,"C4, C6, C10, C11, C18, C19, C23, C24, C29, C36, C104, C109, C201, C202, C401, C402, C404, C407, C413, C601",10uF/6.3V,C15525
3,2,"C12, C408",120pF,C307442
4,2,"C105, C106",15pF,C86285
5,9,"D1, D2, D3, D4, D5, D6, D7, D8, D9",BAS40-04,C21714097
6,1,D10,SMF5.0A,C151296
7,3,"D401, D602, D603",1N4148WT,C2828426
12,1,L201,CBW201209U300T,C139190
16,3,"Q1, Q2, Q5",2N7002KT,C2840287
17,1,Q401,BCM857BS-7-F,C105896
18,2,"Q402, Q602",BC2301T 2.8A,C21714127
19,1,Q601,MMDT3906DW,C2836075
20,1,R1,10R,C25077
21,5,"R2, R12, R502, R602, R603",1K,C11702
22,1,R3,110K,C25745
23,5,"R4, R5, R319, R401, R412",100K,C25741
24,15,"R6, R8, R9, R11, R301, R406, R407, R410, R414, R415, R606, R609, R610, R611, R613",10K,C25744
25,1,R10,470K,C25790
26,8,"R13, R14, R15, R16, R17, R18, R19, R20",120R 0.5W,C966144
27,4,"R21, R103, R202, R203",27R,C25100
28,2,"R201, R204",5.1K,C25905
29,1,R209,33R,C17634
30,1,R403,102K,C26991
31,1,R404,133K,C25753
32,5,"R405, R408, R409, R604, R605",33K,C25779
34,1,R608,200R,C25087
35,7,"RN1, RN2, RN8, RN303, RN308, RN317, RN318",100K,C25724
36,2,"RN3, RN9",10K,C25725
37,4,"RN4, RN7, RN302, RN307",4.7K,C29586
38,2,"RN5, RN6",2.2K,C26075
39,2,"RN10, RN11",1M,C425315
40,2,"RN301, RN306",120R,C270390
44,1,U2,AiP74LVC8T245QE24.TR,C5361831
46,6,"U5, U9, U10, U11, U12, U13",GS358-FR,C431311
49,3,"U14, U15, U16",SP3002-04JTG,C84558
50,1,U17,TLV75801PDRV,C2876308
51,1,U102,W25Q128JVSIQ,C97521
52,1,U105,MT29F2G01ABAGDWB-IT:G,C410863
53,8,"U301, U302, U303, U304, U305, U306, U307, U308",AiP74LVC1T45GC363.TR,C5162250
54,1,U401,ME6211A33PG-N,C236673
56,1,U403,AP2127K-ADJ,C96343
58,1,U601,GS321A-TR,C431318
59,1,U602,GSV331-TR,C2927687
60,1,Y101,ABM8-272-T3,C20625731
