Item,Qty,Reference(s),Value,Footprint,szlcsc_partnum
1,3,"C1, C2, C3",47uF/CL21A226MAYNNNE,Capacitor_SMD:C_0805_2012Metric,C602037
2,1,D2,LED,LED_SMD:LED_0805_2012Metric,
3,1,D401,1N4148WT,Diode_SMD:D_SOD-523,C2828426
4,2,"J1, J4",Mini-DIN-6,connector-mini-din-6:Connector_Mini-DIN_Female_6Pin_2rows,C77848
5,1,J2,Conn_01x10,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal,
6,1,J5,USB_A,Connector_USB:USB_A_CONNFLY_DS1095-WNR0,C456018
7,1,J7,TYPE-C-31-M-12,TYPE-C-31-M-12:HRO_TYPE-C-31-M-12,C2858270
8,2,"J8, J9",Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,C2905434
9,4,"L1, L2, L4, L5",CBW201209U300T,Inductor_SMD:L_0805_2012Metric,C139190
10,1,Q401,BCM857BS-7-F,Package_TO_SOT_SMD:SOT-363_SC-70-6,C105896
11,1,Q402,BC2301T 2.8A,Package_TO_SOT_SMD:SOT-523,C21714127
12,2,"R1, R5",5.1K,Resistor_SMD:R_0805_2012Metric,C27834
13,2,"R2, R3",2K,Resistor_SMD:R_0805_2012Metric,C2907315
14,1,R408,68K,Resistor_SMD:R_0805_2012Metric,C17801
15,1,R410,10K,Resistor_SMD:R_0805_2012Metric,C17414
16,1,R412,100K,Resistor_SMD:R_0805_2012Metric,C149504
17,1,SW1,SW_SPDT,Button_Switch_SMD:SW_SPDT_PCM12,C431540
